Account: Account Region,Account: Account SubRegion,Account: SE Owner,Account: Account Name,Product,License Activation,% Adoption,Product Adoption: Product Adoption Name,Product Stage,Days in Product Stage,Product Sub-Stage,Notes,Services Attached
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,Petronas Energy Canada Ltd,NCI,50% to 80%,78,PA-045870,12 - Effective Adoption,345,In Process,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,Petronas Energy Canada Ltd,EUC,Greater than 80%,100,PA-043658,10 - Implementation,909,Unscheduled,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,Petronas Energy Canada Ltd,NCM,Greater than 80%,100,PA-043659,12 - Effective Adoption,695,In Progress,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,Petronas Energy Canada Ltd,AOS,Greater than 80%,100,PA-004717,12 - Effective Adoption,507,In Process,,
Americas North Enterprise & Canada,Canada Enterprise/Comm West,Brian Parks,Petronas Energy Canada Ltd,Prism,50% or less,0,PA-011887,13 - No Longer in Use,644,Other,,
