Linked Opportunity: Account Name,Registration: ID,Registration: Registration Name,Nutanix Software Products,Partner / OEM Account Name,Linked Opportunity: Opportunity ID,Linked Opportunity: Opportunity Name,Linked Opportunity: Stage,Partner's Preferred Distributor,Linked Opportunity: Distributor Company Name,OEM Reseller Company,Linked Opportunity: Reseller/OEM Name,Linked Opportunity: Workloads,Linked Opportunity: Primary Workload,Linked Opportunity: Product Picklist,Is Primary Registration,Linked Opportunity: Primary Contact,Created Date/Time
Inter Pipeline Fund,a2CVO0000009psv,Reg330230,,Long View Systems - Canada,006VO000001sFj4,SS_Interpipeline Remote Site SO Redo_LVS,8 - Closed Won,ARROW ECS CANADA,ARROW ECS CANADA,,Long View Systems - Canada,,Enterprise Applications,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Cloud Clusters (NC2); Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,12/14/2023 10:38 AM
Inter Pipeline Fund,a2CVO0000017qSj,Reg356507,,Long View Systems - Canada,006VO000009FRdr,SS_IPL HPC Remote Site_LVS,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Long View Systems - Canada,,Infrastructure Services,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Cloud Clusters (NC2); Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,6/5/2024 11:25 AM
Inter Pipeline Fund,a2CVO0000017qXZ,Reg356508,,Long View Systems - Canada,006VO000009FT1K,SS_IPL ROF Remote Site_LVS,8 - Closed Won,Ingram Micro Canada,Ingram Micro Canada,,Long View Systems - Canada,,Infrastructure Services,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Cloud Clusters (NC2); Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,6/5/2024 11:27 AM
Inter Pipeline Fund,a2CVO000003zBo1,Reg398819,,Long View Systems - Canada,006VO00000NMMsg,SS_IPL Ansys_LVS,9 - Closed Lost,Ingram Micro Canada,Ingram Micro Canada,,Long View Systems - Canada,,1 - AI and Machine Learning,Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Cloud Clusters (NC2); Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,3/14/2025 5:06 PM
Inter Pipeline Fund,a2CVO0000046VlB,Reg400362,,Long View Systems - Canada,006VO00000NMZ3X,SS_IPL Remote Site (Small)_LVS,9 - Closed Lost,Ingram Micro Canada,Ingram Micro Canada,,Long View Systems - Canada,,"7 - IT Services (AD, DNS, File and Object services, Print, etc.)",Acropolis (AOS); File Analytics; Flow Network Security (FNS); Flow Virtual Networking (FVN); Foundation; Life Cycle Manager (LCM); NCC; Nutanix Cloud Clusters (NC2); Nutanix Data Lens; Nutanix Disaster Recovery; Nutanix DRaaS; Nutanix Files; Nutanix Kubernetes Engine; Nutanix Kubernetes Platform (NKP); Nutanix Mine; Nutanix Move; Nutanix Objects; Nutanix Security Central; Nutanix Volumes; NX Hardware; Prism Central; Support Portal; Xray; X-Ray,1,,3/25/2025 3:38 PM
